Metric,Year 1,Year 2,Year 3,Year 4,Year 5
Revenue,200000,1250000,4500000,10200000,19000000
Gross Margin,60%,68%,74%,78%,81%
Gross Profit,120000,850000,3330000,7956000,15390000
Operating Expense,1050000,1450000,2850000,5250000,8500000
Operating EBITDA,-930000,-600000,480000,2706000,6890000
Municipal Revenue,125000,500000,1200000,2940000,6050000
Carrier Revenue,50000,350000,1400000,4500000,9900000
Partner SaaS Revenue,25000,250000,800000,1600000,2400000
Claim Package Revenue,0,100000,600000,900000,350000
Analytics Revenue,0,50000,500000,260000,300000
