Month,Revenue,Gross Margin,Gross Profit,Operating Expense,Operating EBITDA,Ending Cash
1,0,55.00%,0,83333,-83333,1916667
2,0,55.00%,0,83333,-83333,1833333
3,0,55.00%,0,83333,-83333,1750000
4,5000,55.00%,2750,86667,-83917,1666083
5,10000,55.00%,5500,86667,-81167,1584917
6,10000,55.00%,5500,86667,-81167,1503750
7,15000,60.00%,9000,90000,-81000,1422750
8,20000,60.00%,12000,90000,-78000,1344750
9,25000,60.00%,15000,90000,-75000,1269750
10,30000,60.00%,18000,90000,-72000,1197750
11,35000,60.00%,21000,90000,-69000,1128750
12,50000,60.00%,30000,90000,-60000,1068750
13,55000,65.00%,35750,110000,-74250,994500
14,65000,65.00%,42250,110000,-67750,926750
15,80000,65.00%,52000,110000,-58000,868750
16,75000,67.00%,50250,116667,-66417,802333
17,80000,67.00%,53600,116667,-63067,739267
18,95000,67.00%,63650,116667,-53017,686250
19,100000,69.00%,69000,123333,-54333,631917
20,115000,69.00%,79350,123333,-43983,587933
21,135000,69.00%,93150,123333,-30183,557750
22,130000,71.00%,92300,133333,-41033,516717
23,150000,71.00%,106500,133333,-26833,489883
24,170000,71.00%,120700,133333,-12633,477250
25,220000,72.00%,158400,200000,-41600,435650
26,260000,72.00%,187200,200000,-12800,422850
27,320000,72.00%,230400,200000,30400,453250
28,300000,74.00%,222000,216667,5333,458583
29,330000,74.00%,244200,216667,27533,486117
30,370000,74.00%,273800,216667,57133,543250
31,360000,75.00%,270000,250000,20000,563250
32,400000,75.00%,300000,250000,50000,613250
33,440000,75.00%,330000,250000,80000,693250
34,450000,76.00%,342000,283333,58667,751917
35,500000,76.00%,380000,283333,96667,848583
36,550000,76.00%,418000,283333,134667,983250
